Country,Year,Sex,Age,Deaths,Pop
4150,2001,1.0,2,435.0,49191.0
4150,2001,2.0,2,354.0,46767.0
4150,2002,1.0,2,362.0,48925.0
4150,2002,2.0,2,331.0,46207.0
4160,1996,1.0,2,9.0,2200.0
4160,1996,2.0,2,7.0,2100.0
4160,1997,1.0,2,17.0,2225.0
4160,1997,2.0,2,6.0,2083.0
4160,1998,1.0,2,4.0,2070.0
4160,1998,2.0,2,7.0,2105.0
4160,1999,1.0,2,6.0,2141.0
4160,1999,2.0,2,4.0,2051.0
4160,2000,1.0,2,10.0,2192.0
4160,2000,2.0,2,3.0,2127.0
4160,2001,1.0,2,5.0,2157.0
4160,2001,2.0,2,6.0,2030.0
4160,2002,1.0,2,7.0,2083.0
4160,2002,2.0,2,2.0,2050.0
4184,2000,1.0,2,1313.0,50433.0
4184,2000,2.0,2,912.0,48219.0
4184,2001,1.0,2,1224.0,48951.0
4184,2001,2.0,2,895.0,46792.0
4184,2002,1.0,2,1288.0,49870.0
4184,2002,2.0,2,840.0,47934.0
4188,1999,1.0,2,166.0,18796.0
4188,1999,2.0,2,149.0,17575.0
4188,2001,1.0,2,158.0,16550.0
4188,2001,2.0,2,92.0,15637.0
4220,1996,1.0,2,144.0,31200.0
4220,1996,2.0,2,108.0,29300.0
4220,1997,1.0,2,140.0,31000.0
4220,1997,2.0,2,111.0,29200.0
4220,1998,1.0,2,153.0,30300.0
4220,1998,2.0,2,101.0,28700.0
4220,1999,1.0,2,140.0,30169.0
4220,1999,2.0,2,99.0,28659.0
4220,2000,1.0,2,131.0,30437.0
4220,2000,2.0,2,95.0,28846.0
4220,2001,1.0,2,129.0,29715.0
4220,2001,2.0,2,101.0,28235.0
4220,2002,1.0,2,92.0,28735.0
4220,2002,2.0,2,94.0,27429.0
4230,1999,1.0,2,1903.0,199600.0
4230,1999,2.0,2,1478.0,187700.0
4230,2000,1.0,2,1718.0,197384.0
4230,2000,2.0,2,1349.0,188081.0
4230,2001,1.0,2,1577.0,190938.0
4230,2001,2.0,2,1246.0,181842.0
4230,2002,1.0,2,1490.0,183659.0
4230,2002,2.0,2,1172.0,174450.0
4240,2002,1.0,2,321.0,58520.0
4240,2002,2.0,2,259.0,54590.0
4270,1999,1.0,2,2450.0,118800.0
4270,1999,2.0,2,1910.0,112700.0
4270,2000,1.0,2,2485.0,118100.0
4270,2000,2.0,2,1885.0,111500.0
4270,2001,1.0,2,2328.0,114720.0
4270,2001,2.0,2,1729.0,108704.0
4270,2002,1.0,2,2055.0,107843.0
4270,2002,2.0,2,1593.0,100926.0
4280,1999,1.0,2,940.0,191906.0
4280,1999,2.0,2,760.0,180685.0
4300,1996,1.0,2,226.0,42100.0
4300,1996,2.0,2,164.0,40000.0
4300,1997,1.0,2,201.0,41700.0
4300,1997,2.0,2,186.0,39500.0
4300,1998,1.0,2,222.0,40469.0
4300,1998,2.0,2,153.0,38503.0
4300,1999,1.0,2,215.0,40003.0
4300,1999,2.0,2,146.0,37968.0
4300,2000,1.0,2,214.0,39980.0
4300,2000,2.0,2,169.0,37775.0
4300,2001,1.0,2,210.0,38716.0
4300,2001,2.0,2,156.0,36604.0
4300,2002,1.0,2,181.0,37120.0
4300,2002,2.0,2,145.0,34869.0
4308,2001,1.0,2,2052.0,338338.0
4308,2001,2.0,2,1639.0,324138.0
4308,2002,1.0,2,2050.0,338183.0
4308,2002,2.0,2,1488.0,323030.0
4310,2001,1.0,2,1818.0,300866.0
4310,2001,2.0,2,1449.0,288070.0
4310,2002,1.0,2,1831.0,301210.0
4310,2002,2.0,2,1337.0,287452.0
4320,2001,1.0,2,79.0,11127.0
4320,2001,2.0,2,55.0,10386.0
4320,2002,1.0,2,52.0,10935.0
4320,2002,2.0,2,48.0,10570.0
4330,2000,1.0,2,173.0,27576.0
4330,2000,2.0,2,132.0,25835.0
4330,2001,1.0,2,155.0,26345.0
4330,2001,2.0,2,135.0,25682.0
4330,2002,1.0,2,167.0,26115.0
4330,2002,2.0,2,103.0,25083.0
4350,1997,1.0,2,1108.0,69850.0
4350,1997,2.0,2,768.0,64638.0
4350,1998,1.0,2,1032.0,67340.0
4350,1998,2.0,2,759.0,62531.0
4350,1999,1.0,2,984.0,65476.0
4350,1999,2.0,2,707.0,60696.0
4350,2000,1.0,2,993.0,64923.0
4350,2000,2.0,2,675.0,59910.0
4350,2001,1.0,2,557.0,43958.0
4350,2001,2.0,2,371.0,41134.0
4350,2002,1.0,2,521.0,37502.0
4350,2002,2.0,2,361.0,35443.0
5020,1998,1.0,2,719.0,127837.0
5020,1998,2.0,2,530.0,121358.0
5020,1999,1.0,2,798.0,128424.0
5020,1999,2.0,2,598.0,122266.0
5020,2000,1.0,2,719.0,128682.0
5020,2000,2.0,2,573.0,122738.0
5020,2001,1.0,2,751.0,129889.0
5020,2001,2.0,2,521.0,123142.0
5020,2002,1.0,2,663.0,130061.0
5020,2002,2.0,2,563.0,123230.0
5150,2000,1.0,2,203.0,29150.0
5150,2000,2.0,2,156.0,27760.0
5150,2001,1.0,2,184.0,28480.0
5150,2001,2.0,2,130.0,27340.0
5150,2002,1.0,2,179.0,27230.0
5150,2002,2.0,2,157.0,26600.0
2090,2000,1.0,3,57.0,174269.0
2090,2000,2.0,3,55.0,166463.0
2090,2001,1.0,3,191.0,729929.0
2090,2001,2.0,3,149.0,696924.0
2090,2002,1.0,3,168.0,717173.0
